run_dir,name,lam,value_coef,entropy_beta,train_mse,train_policy_loss,val_crps,val_mse,val_policy_loss,test_crps,test_mse,test_policy_loss
outputs/2025-12-05/08-12-39,ab0_REINFORCE_beta0.10_step1_diff0_denoise1_db0.25,,,0.1,0.0326184667646884,-0.0856307968497276,0.0280168559402227,0.0190029833465814,-0.0880104899406433,0.0234607644379138,0.0466818772256374,-0.034175232052803
outputs/2025-12-05/17-02-39,ab3_GAE_actions3_best,0.9,0.5,0.05,0.0298930034041404,0.0506215617060661,0.0314219258725643,0.0212189704179763,0.022198662161827,0.0224290173500776,0.0448542162775993,0.1593668758869171
outputs/2025-12-05/14-05-50,ab1_REINFORCE_a3_beta0.05_db0.25,,,0.05,0.0292970072478055,-0.1242173165082931,0.032672643661499,0.0286598764359951,-0.1296306550502777,0.0222343876957893,0.0448457039892673,-0.1423801034688949
outputs/2025-12-04/19-26-28,ab0_REINFORCE_beta0.05_step1_diff1_denoise1_db0.1,,,0.05,0.0329217687249183,-0.0783427208662033,0.0347601696848869,0.0243402533233165,-0.0800651460886001,0.024698868393898,0.0487801507115364,-0.0870944559574127
outputs/2025-12-05/17-49-16,ab3_GAE_actions5_best,0.9,0.5,0.05,0.0420894436538219,0.0532726123929023,0.0371921211481094,0.0377114564180374,0.1491302698850631,0.0329147651791572,0.065793253481388,0.205329030752182
outputs/2025-12-05/07-27-54,ab0_REINFORCE_beta0.10_step1_diff0_denoise1_db0.1,,,0.1,0.0487665235996246,-0.1065603941679,0.0426793880760669,0.0458118915557861,-0.101586028933525,0.0295256078243255,0.0683458670973777,-0.089369460940361
outputs/2025-12-04/20-11-30,ab0_REINFORCE_beta0.05_step1_diff1_denoise1_db0.25,,,0.05,0.0288943350315094,-0.1245627179741859,0.0437814854085445,0.020342867821455,-0.1200105249881744,0.0226467233151197,0.0450886078178882,-0.142400324344635
outputs/2025-12-05/16-17-50,ab1_REINFORCE_a3_beta0.10_db0.25,,,0.1,0.0312392357736825,-0.1613993942737579,0.0485532693564891,0.0227443259209394,-0.1598752439022064,0.0234007854014635,0.046250894665718,-0.171974778175354
outputs/2025-12-04/23-13-24,ab0_REINFORCE_beta0.05_step1_diff0_denoise1_db0.25,,,0.05,0.0331797674298286,0.0001529492437839,0.0523445010185241,0.0218522455543279,0.001269519329071,0.0224958416074514,0.0446901582181453,0.0675998479127883
outputs/2025-12-05/18-36-09,ab3_GAE_actions7_best,0.9,0.5,0.05,0.0599569343030452,0.0843102186918258,0.0536439381539821,0.0493045188486576,0.081737644970417,0.0430291034281253,0.0922028571367263,0.3161176145076751
outputs/2025-12-05/12-36-59,ab1_REINFORCE_a3_beta0.05_db0.01,,,0.05,0.2177747786045074,-0.0559499971568584,0.0568518303334713,0.205168142914772,-0.0557735599577426,0.0303899589926004,0.257414698600769,-0.0569251924753189
outputs/2025-12-05/00-48-44,ab0_REINFORCE_beta0.05_step0_diff0_denoise1_db0.01,,,0.05,0.2526544034481048,-0.055240411311388,0.0604198314249515,0.2508746385574341,-0.0552806258201599,0.0378594659268856,0.3363476693630218,-0.0553319491446018
outputs/2025-12-05/01-34-37,ab0_REINFORCE_beta0.05_step0_diff0_denoise1_db0.1,,,0.05,0.0359597690403461,-0.0697458982467651,0.0612400919198989,0.0280750039964914,-0.069748044013977,0.0246842838823795,0.0489129796624183,-0.0698149353265762
outputs/2025-12-05/05-16-25,ab0_REINFORCE_beta0.10_step1_diff1_denoise1_db0.25,,,0.1,0.0317103080451488,-0.1617518216371536,0.0646300166845321,0.0299205277115106,-0.1627645194530487,0.0237275529652833,0.0469609461724758,-0.1721185445785522
outputs/2025-12-05/10-26-26,ab0_REINFORCE_beta0.10_step0_diff0_denoise1_db0.1,,,0.1,0.0474574640393257,-0.1202753260731697,0.0658207312226295,0.0541895739734172,-0.1202938854694366,0.028392968699336,0.0721010938286781,-0.1203152015805244
outputs/2025-12-05/08-57-47,ab0_REINFORCE_beta0.10_step1_diff0_denoise0_db0,,,0.1,0.361067920923233,-0.1091863438487052,0.0809035748243331,0.3522792756557464,-0.1095310226082801,0.0624429918825626,0.4609521031379699,-0.1082330867648124
outputs/2025-12-05/14-49-25,ab1_REINFORCE_a3_beta0.10_db0.01,,,0.1,0.2943383157253265,-0.1103620156645774,0.0822747945785522,0.286743700504303,-0.1103692352771759,0.0443983301520347,0.3765304684638977,-0.110914833843708
outputs/2025-12-05/15-32-55,ab1_REINFORCE_a3_beta0.10_db0.1,,,0.1,0.0478043556213378,-0.1220404282212257,0.0824593231081962,0.0456788688898086,-0.122048519551754,0.0292158294469118,0.0679555833339691,-0.1242242380976677
outputs/2025-12-05/00-02-28,ab0_REINFORCE_beta0.05_step1_diff0_denoise0_db0,,,0.05,0.2955348789691925,-0.0522209517657756,0.0826399251818656,0.3137302696704864,-0.050731785595417,0.0452455282211303,0.3702345192432403,-0.0496107004582881
outputs/2025-12-05/09-42-00,ab0_REINFORCE_beta0.10_step0_diff0_denoise1_db0.01,,,0.1,0.3330884277820587,-0.1100207045674324,0.0905534923076629,0.3579723238945007,-0.1100274994969368,0.058568350970745,0.4629868268966675,-0.1100801900029182
outputs/2025-12-04/22-26-42,ab0_REINFORCE_beta0.05_step1_diff0_denoise1_db0.1,,,0.05,0.031093155965209,-0.0181950349360704,0.0908760353922844,0.0309536606073379,-0.0125789493322372,0.0242560748010873,0.0479517839848995,0.0260904319584369
outputs/2025-12-05/06-43-50,ab0_REINFORCE_beta0.10_step1_diff0_denoise1_db0.01,,,0.1,0.302612841129303,-0.1095262244343757,0.0923403725028038,0.3300451934337616,-0.1093331351876258,0.0615152493119239,0.4623584747314453,-0.1084858030080795
outputs/2025-12-05/03-05-41,ab0_REINFORCE_beta0.05_step0_diff0_denoise0_db0,,,0.05,0.3655326068401336,-0.0549357794225215,0.097286120057106,0.3490913510322571,-0.0549408420920372,0.0688613578677177,0.5079125761985779,-0.0549752414226532
outputs/2025-12-05/11-53-48,ab0_REINFORCE_beta0.10_step0_diff0_denoise0_db0,,,0.1,0.3809943199157715,-0.1098642796277999,0.1125093773007392,0.4036162197589874,-0.1098524779081344,0.0736922845244407,0.5402290225028992,-0.1098761931061744
outputs/2025-12-05/04-32-36,ab0_REINFORCE_beta0.10_step1_diff1_denoise1_db0.1,,,0.1,0.0479487664997577,-0.1220560073852539,0.115090325474739,0.0606116950511932,-0.1218080893158912,0.0286074988543987,0.0674618557095527,-0.1240415647625923
outputs/2025-12-05/11-10-30,ab0_REINFORCE_beta0.10_step0_diff0_denoise1_db0.25,,,0.1,0.0327137187123298,-0.1496713608503341,0.1178505569696426,0.0612573884427547,-0.1497334837913513,0.0241346322000026,0.0467653907835483,-0.1495997011661529
outputs/2025-12-04/21-41-24,ab0_REINFORCE_beta0.05_step1_diff0_denoise1_db0.01,,,0.05,0.258028119802475,-0.0532969944179058,0.1198013946413993,0.2760525941848755,-0.0533548928797245,0.0351020731031894,0.3055796325206756,-0.0508208088576793
outputs/2025-12-05/02-19-40,ab0_REINFORCE_beta0.05_step0_diff0_denoise1_db0.25,,,0.05,0.0300515070557594,-0.1013942435383796,0.1406275033950805,0.0321869701147079,-0.1014268100261688,0.0224521439522504,0.0448994114995002,-0.1015311479568481
outputs/2025-12-04/20-56-33,ab0_REINFORCE_beta0.05_step1_diff1_denoise0_db0,,,0.05,0.3041938543319702,-0.0555212162435054,0.1414666771888733,0.2806342542171478,-0.0553385913372039,0.0427729189395904,0.3419436514377594,-0.0560413487255573
outputs/2025-12-05/13-21-02,ab1_REINFORCE_a3_beta0.05_db0.1,,,0.05,0.0310508757829666,-0.0787331983447074,0.1469866633415222,0.0353043675422668,-0.0781377702951431,0.0241711605340242,0.0476635098457336,-0.0872752815485
outputs/2025-12-05/03-49-05,ab0_REINFORCE_beta0.10_step1_diff1_denoise1_db0.01,,,0.1,0.293775200843811,-0.1103847101330757,0.1862797439098358,0.2681338489055633,-0.1102454587817192,0.0449161790311336,0.3751664757728576,-0.1108873412013053
outputs/2025-12-05/06-00-52,ab0_REINFORCE_beta0.10_step1_diff1_denoise0_db0,,,0.1,0.3451868295669555,-0.1101154908537864,0.1865934431552887,0.3587651550769806,-0.1101502627134323,0.0602677762508392,0.4597552418708801,-0.1106226742267608
